category_id,parent,child
2,100005,NULL
3,100023,100005
4,17,100005
5,18,100005
6,20,100005
7,19,100005
8,100024,100005
9,200016,100005
10,200073,100023
11,71,100023
12,72,100023
13,100078,100023
14,100079,100023
15,200074,100023
16,73,100023
17,200075,100023
18,100076,100023
19,100077,100023
20,200258,200073
21,200257,200073
22,100276,71
23,200239,71
24,252,71
25,200246,71
26,1100002,71
27,253,71
28,200247,71
29,255,71
30,257,71
31,100272,71
32,100273,71
33,100271,71
34,200238,71
35,100275,71
36,200240,71
37,251,71
38,200242,71
39,100274,71
40,200243,71
41,256,71
42,200244,71
43,13000001,71
44,12900001,71
45,200254,72
46,262,72
47,200252,72
48,100284,72
49,13000002,72
50,266,72
51,13100001,72
52,261,72
53,264,72
54,265,72
55,100278,72
56,200250,72
57,200253,72
58,200267,100078
59,200268,100078
60,200269,100078
61,200266,100078
62,100279,100079
63,100280,100079
64,200248,200074
65,100277,200074
66,258,200074
67,200251,200074
68,200249,200074
69,260,200074
70,259,200074
71,263,73
72,100283,73
73,200256,73
74,100281,200075
75,200255,200075
76,269,100076
77,200263,100076
78,200264,100076
79,200262,100076
80,271,100077
81,15000001,100077
82,200265,100077
83,272,100077
84,273,100077
85,100287,100077
86,100082,17
87,277,100082
88,100333,100082
89,100332,100082
90,200321,100082
91,281,100082
92,283,100082
93,100295,100082
94,100297,100082
95,282,100082
96,100335,100082
97,200278,100082
98,200277,100082
99,100301,100082
100,100331,100082
101,100334,100082
102,100290,100082
103,274,100082
104,276,100082
105,100296,100082
106,74,18
107,100302,74
108,200283,74
109,200284,74
110,100303,74
111,284,74
112,200282,74
113,82,20
114,200320,82
115,200276,82
116,278,82
117,267,82
118,200260,82
119,100291,82
120,100292,82
121,209,82
122,200274,82
123,268,82
124,200280,82
125,280,82
126,200259,82
127,79,19
128,100087,19
129,100086,19
130,100085,19
131,200305,79
132,200303,79
133,200304,79
134,301,79
135,100329,100087
136,200312,100087
137,307,100087
138,200310,100087
139,304,100086
140,200309,100086
141,200313,100086
142,100328,100086
143,312,100086
144,200308,100086
145,306,100086
146,310,100086
147,100325,100086
148,309,100086
149,311,100086
150,305,100086
151,200314,100086
152,100327,100086
153,200315,100086
154,100326,100086
155,100330,100086
156,200307,100085
157,302,100085
158,200306,100085
159,303,100085
160,100324,100085
161,76,100024
162,75,100024
163,77,100024
164,100315,76
165,200291,76
166,100314,76
167,293,76
168,200293,76
169,292,76
170,200292,76
171,200290,76
172,100309,75
173,290,75
174,100308,75
175,200288,75
176,200287,75
177,100307,75
178,100306,75
179,291,75
180,200286,75
181,100305,75
182,285,75
183,100312,75
184,287,75
185,100311,75
186,200289,75
187,200285,75
188,288,75
189,289,75
190,100304,75
191,296,77
192,200295,77
193,200294,77
194,100317,77
195,100318,77
196,298,77
197,100316,77
198,297,77
199,100081,200016
200,100080,200016
201,200272,100081
202,100289,100081
203,200273,100081
204,100288,100081
205,200271,100080
